Title,Description,Link,Category
An overview of protocols involved in Internet of Things devices and applications. Help clarify with IoT layer technology stack and head-to-head comparisons.,,https://www.postscapes.com/internet-of-things-protocols/,IoT
Infrastructure,"IPv6 - ""IPv6, is an Internet Layer protocol for packet-switched internetworking and provides end-to-end datagram transmission across multiple IP networks.",https://www.postscapes.com/internet-of-things-protocols/,IoT
Data Protocols,"MQTT (Message Queuing Telemetry Transport)
""The MQTT protocol enables a publish/subscribe messaging model in an extremely lightweight way. It is useful for connections with remote locations where a small code footprint is required and/or network bandwidth is at a premium.""
-Additional resources",https://www.postscapes.com/internet-of-things-protocols/,IoT
Communication / Transport layer,,https://www.postscapes.com/internet-of-things-protocols/,IoT
"Cellular:
GPRS/2G/3G/4G cellular",- View a more complete overview of IoT communication and technologies here.,https://www.postscapes.com/internet-of-things-protocols/,IoT
Multi-layer Frameworks,Alljoyn - An open source software framework that makes it easy for devices and apps to discover and communicate with each other.,https://www.postscapes.com/internet-of-things-protocols/,IoT
Vertical Specific,"IEEE 1451:
The IEEE 1451, a family of Smart Transducer Interface Standards, describes a set of open, common, network-independent communication interfaces for connecting transducers (sensors or actuators) to microprocessors, instrumentation systems, and control/field networks.",https://www.postscapes.com/internet-of-things-protocols/,IoT
Architectures / Graphic,Credit: Simon Ford - Director of IoT Platforms ARM,https://www.postscapes.com/internet-of-things-protocols/,IoT
Alliances and Organizations,"Eclipse Paho Project
""The scope of the Paho project is to provide open source implementations of open and standard messaging protocols that support current and emerging requirements of M2M integration with Web and Enterprise middleware and applications. It will include client implementations for use on embedded platforms along with corresponding server support as determined by the community.""",https://www.postscapes.com/internet-of-things-protocols/,IoT
Organizations:,"Eclipse Paho Project
""The scope of the Paho project is to provide open source implementations of open and standard messaging protocols that support current and emerging requirements of M2M integration with Web and Enterprise middleware and applications. It will include client implementations for use on embedded platforms along with corresponding server support as determined by the community.""",https://www.postscapes.com/internet-of-things-protocols/,IoT
Additional resources,General:,https://www.postscapes.com/internet-of-things-protocols/,IoT
Start typing and press enter to search,No description,https://www.postscapes.com/internet-of-things-protocols/,IoT
10 Trends to Watch,What are the technology and user trends that will shape your business?,https://www.postscapes.com/iot-hardware/,IoT
Start typing and press enter to search,No description,https://www.postscapes.com/iot-hardware/,IoT
"A closer look at the technologies, companies and products helping to secure the emerging Internet of Things.",,https://www.postscapes.com/iot-security/,IoT
Providers / Solutions,"These companies offer services tailored to large-scale IoT deployments, both to support industrial uses of IoT technology and as protection for cloud-connected consumer devices in the home.",https://www.postscapes.com/iot-security/,IoT
Books and Resources,"​For a more comprehensive understanding of IoT security, check out our reading list of books, white papers and popular articles covering the topic.",https://www.postscapes.com/iot-security/,IoT
Best Practices / Guidelines,A number of IoT industry groups have published recommendations for secure IoT development. Explore guidelines and best practices produced by the experts.,https://www.postscapes.com/iot-security/,IoT
Organizations and Standards,"These projects, foundations and alliances take a principled approach to promoting IoT security. Learn more about their work and how to get involved in the mission of protecting the Internet of Things.",https://www.postscapes.com/iot-security/,IoT
Additional resources,Events,https://www.postscapes.com/iot-security/,IoT
Start typing and press enter to search,No description,https://www.postscapes.com/iot-security/,IoT
An overview of protocols involved in Internet of Things devices and applications. Help clarify with IoT layer technology stack and head-to-head comparisons.,,https://www.postscapes.com/internet-of-things-protocols/,IoT
Infrastructure,"IPv6 - ""IPv6, is an Internet Layer protocol for packet-switched internetworking and provides end-to-end datagram transmission across multiple IP networks.",https://www.postscapes.com/internet-of-things-protocols/,IoT
Data Protocols,"MQTT (Message Queuing Telemetry Transport)
""The MQTT protocol enables a publish/subscribe messaging model in an extremely lightweight way. It is useful for connections with remote locations where a small code footprint is required and/or network bandwidth is at a premium.""
-Additional resources",https://www.postscapes.com/internet-of-things-protocols/,IoT
Communication / Transport layer,,https://www.postscapes.com/internet-of-things-protocols/,IoT
"Cellular:
GPRS/2G/3G/4G cellular",- View a more complete overview of IoT communication and technologies here.,https://www.postscapes.com/internet-of-things-protocols/,IoT
Multi-layer Frameworks,Alljoyn - An open source software framework that makes it easy for devices and apps to discover and communicate with each other.,https://www.postscapes.com/internet-of-things-protocols/,IoT
Vertical Specific,"IEEE 1451:
The IEEE 1451, a family of Smart Transducer Interface Standards, describes a set of open, common, network-independent communication interfaces for connecting transducers (sensors or actuators) to microprocessors, instrumentation systems, and control/field networks.",https://www.postscapes.com/internet-of-things-protocols/,IoT
Architectures / Graphic,Credit: Simon Ford - Director of IoT Platforms ARM,https://www.postscapes.com/internet-of-things-protocols/,IoT
